StartDate,EndDate,id,Q16,Q17,Q18,Q19,IDVAR,ObamaFT3,ClintonFT3,TrumpFT3,RyanFT3,Turnout3,VotePreference3,VotePreferenceText3,WatchDebate3,TrumpDebatePerformance3,ClintonDebatePerformance3,ClintonGaffe3,TrumpGaffe3,WhoWonDebate3,WhoWillWinelection3,Q12_TEXT,CloseElection3,DiscussPoliticsFamily,DiscussPoliticsFriends,DiscussPoliticsSigOther,DiscussPoliticsPeers,WhoWonAccordingtoYourNetwork,LocalNewsYes,FoxNewsYes,MSNBCYes,CNNYES,CBSYES,ABCYES,NBCYES,NPYES,RADIOYES,INternetnewsyes,twitteryes,Facebookyes,Q14_2_1,Q14_2_2,Q14_2_3,Q14_2_4,Q14_2_5,Q14_2_6,Q14_2_7,Q14_2_8,Q14_2_9,Q14_2_10,Q14_2_11,Q14_2_12,Q21,LocationLatitude,LocationLongitude,LocationAccuracy,V1Condition,V3Interest,V4Turnout,V5VotePreference,V6PID,V7VotePrimary,V8WhoinPrimary,V9TrustAZ,v10TrustNYT,V11TurstFox,V12TrustMSNBC,V13TrustCNN,V14ToneTrump,V15ToneClinton,V16Know1,V17Know2,V18Know3,V19Know4,V20ObamaFT,V21ClintonFT,V22TrumpFT,V23RyanFT,V23WhoWins,V25HowClose,V26Issue,V27OtherIssue,V28Civil1,V29Relevant1,V30Civil2,V31Relevant2,v32GunOwn,V33GunClinton,V34GunTrump,V35TaxOwn,V36TaxTrump,V37TaxClinton,V38TrumpEcon,V39TrumpHealth,V40TrumpTerro,V41TrumpRestoreTrust,V42ClintonEcon,V43ClintonHealth,V44ClintonTerror,V45ClintonRestoreTrust,V46StateofEcon,V47TerrorLiberties,v48TerroristAttack,V49ACAOwn,V50AcaClinton,V51ACATrumo,V52ImmigrantOwn,V53ImmigrantTrump,V54ImmigrantClinton,V55BanMuslimOwn,V56BanMuslimClinton,v57BanMuslimTrump,v58ClintonHonest,V59ClintonKnow,V60ClintonCare,V61ClintonLeader,V62TrumpHonest,V63TrumpKnow,V64TrumpCare,V65TrumpLeader,V66ClintonAngry,V67ClintonProud,V68ClintonAfraid,V69ClintonHopeful,V70TrumpAngry,V71TrumpProud,V72TrumpAfraid,V73TrumpHopeful,V74TrumpElectable,V75ClintonElectable,V76SelfIdeology,V77TrumpIdeology,V78ClintonIdeology,V79CNNIdeology,V80FoxIdeology,V81MSNBCIdeology,V82TrumpDebatePerformance,V83ClintonDebatePerformance,V84ClintonGaffe,V85TrumpGaffe,V86WhoWonDebate,V87TrumpDebatePerformanceNews,V88ClintonDebatePerformanceNews,V89TrumpGaffeNews,V90ClintonGaffeNews,V91WhoWonDebateNews,V92ObamaFTPost,V93ClintonFTPost,V94TrumpFTPost,V95RyanFTPost,V96WhoWinsPost,V97HowClosePost,V98IssuePost,V99EnterOtherIssue,V100TurnoutPost,V101VotePreferencePost,V102StateofEconomyPost,V103ToneClintonPost,V104ToneTrumpPost,V105Terrorv.LibertiesPost,V106TaxTrumpPost,V107TaxClintonPost,V108GunClintonPost,V109GunTrumpPost,V110TrumpEconomyPost,V111TrumpHealthPost,V112TrumpTerrorPost,V113TrumpRestoreTrustPost,V114ClintonEconomyPost,V115ClintonHealthPost,V116ClintonTerrorPost,V117ClintonRestoreTrustPost,VclintonACA,VtrumpACA,Vtrumpimmig,Vclintonimmig,V118BanMuslimClintonPost,V119BanMuslimTrumpPost,V120TrumpHonestPost,V121TrumpKnowPost,V122TrumpCarePost,V123TrumpLeaderPost,V124ClintonHonestPost,V125ClintonKnowPost,V126ClintonCarePost,V127ClintonLeaderPost,V128TerroristAttackPost,V129ClintonAngryPost,V130ClintonProudPost,V131ClintonAfraidPost,V132ClintonHopefulPost,V133TrumpAngryPost,V134TrumpProudPost,V135TrumpAfraidPost,V136TrumpHopefulPost,V137TrumpElectablePost,V138ClintonElectablePost,V139TrumpIdeologyPost,V140ClintonIdeologyPost,V141Sexism1,V142Sexism2,V143Sexism3,V144Authoritarianism1,V145Authoritarianism2,V146Authoritarianism3,V147Authoritarianism4,V148Cog1,V149Cog2,V150Cog3,V151Cog4,V152Cog5,V153Cog6,V154Cog7,V155Cog8,V156Cog9,V157Cog10,V158Cog11,V159Cog12,V160Cog13,V161Cog14,V162Cog15,V163Cog16,V164Cog17,V165Cog18,V166NewsMag,V166NewsPaper,V166radio,V166internet,V166Tv,V167Age,V168Gender,V169YearinSchool,V170Major,V171CountryofOrigin,V172MotherBorn,V173FatherBorn,V174.Citizen,V175Language,V176RaceorEthnicity,V177Religion,V178EligibletoVote,V179Purpose,know1,know2,know3,know4,know,needforcognition,A1,A2,A3,A4,authority,gendermalefemale,uncivil1,irrelevant1,uncivil2,irrelevant2,intolerancetoincivility,intolerancetoirrelevance,intolerancetonegativity,interest,turnout,Trumpreference,Clintonpreference,votedprimary,trustazrepublic,trustnyt,trustfox,trustMSNBC,trustCNN,trumpnegative,clintonnegative,trumpeconomy,trumphealth,trumpterror,trumprestoretrust,Clintoneconomy,Clintonhealth,Clintonterror,Clintonrestoretrust,stateofeconomy,terroristattack,clintonhonest,clintonknow,clintoncare,clintonleader,trumphonest,trumpknow,trumpcare,trumpleader,clintonangry,clintonproud,clintonafraid,clintonhopeful,trumpangry,trumpproud,trumpafraid,trumphopeful,clintongaffe,trumpgaffe,whowondebate,clintongaffenews,trumpgaffenews,whowondebatenews,clintonwins,trumpwins,clintonwinspost,trumpwinspost,stateofeconomypost,trumpnegativepost,clintonnegativepost,turnoutpost,Trumpreferencepost,Clintonpreferencepost,trumpeconomypost,trumphealthpost,trumpterrorpost,trumprestoretrustpost,Clintoneconomypost,Clintonhealthpost,Clintonterrorpost,Clintonrestoretrustpost,terroristattackpost,clintonhonestpost,clintonknowpost,clintoncarepost,clintonleaderpost,trumphonestpost,trumpknowpost,trumpcarepost,trumpleaderpost,clintonangrypost,clintonproudpost,clintonafraidpost,clintonhopefulpost,trumpangrypost,trumpproudpost,trumpafraidpost,trumphopefulpost,sexist1,sexist2,sexist3,sexist,paidattentiontomediasinceexperiment,recodewatchdebate3,discusspolitics,recodeturnout3,recodeclintongaffe3,recodetrumpgaffe3,recodeWhoWonDebate3,clintonwins3,trumpwins3
10/2/2016,10/2/2016,10594,1,DU,1,30,DU130,95,70,0,30,1,2, ,1,2,9,2,1,2,1, ,1,1,1,1,1,2,1,0,0,1,1,0,1,0,1,1,1,0, ,1,1, , ,1, ,1, , , ,1,2,33.276901245117,-111.94439697266,-1,4,1,1,2,4,2,1,2,1,3,3,2,4,1,0,0,0,1,95,40,0,40,1,1,4, ,1,3,4,4,2,2,5,1,4,1,5,5,5,5,3,2,1,4,2,6,2,2,2,5,5,1,5,3,3,1,3,2,3,3,4,4,4,4,3,3,3,2,3,3,3,3,1,5,4,4,2,2,7,1,99,99,9,9,9,99,99,9,9,9,100,50,0,50,1,1,4, ,1,2,2,1,4,6,5,1,5,1,5,5,5,5,2,2,1,2,2,4,1,5,1,3,4,4,4,4,3,2,3,2,3,3,3,3,3,1,3,1,3,1,4,4,3,4,1,4,2,2,1,1,4,4,5,5,4,4,4,4,2,5,5,5,3,4,4,4,5,4,5,3,2,1,1,19,1,2,3,1,2,2,1,1,3,1,1,3,0,0,0,1,1,75,1,0,0,0,1,0,4,3,4,4,8,7,15,3,4,0,1,1,2,3,1,1,2,1,4, , , , ,2,3,4,1,4,3,2,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1, , , , , , ,1,0,1,0,4,1,4,4,0,1, , , , ,3,3,4,3,2,2,3,2,3,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3,7,1,4,4,0,1,-1,1,0
10/3/2016,10/3/2016,10123,1,EI,1,26,EI26,50,1,50,50,1,1, ,1,5,8,2,1,2,6, ,1,1,1, ,1,4,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1, , , , , ,1,2,33.414794921875,-111.90930175781,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0, , , , , , , ,9, , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0, , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, ,4,0,1,-1,0,0
10/2/2016,10/2/2016,11126,1,EL,0,24,EL024,85,60,0,0,1,2, ,1,1,1,2,2,2,1, ,2, ,1, ,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,33.435699462891,-111.91709899902,-1,1,1,1,2,1,1,7,3,2,3,3,3,4,2,0,0,0,1,85,70,0,0,1,2,12,education in low income areas/generational poverty,4,4,1,3,1,2,5,2,4,3,5,5,5,5,3,1,5,3,1,6,4,1,2,5,5,1,5,3,3,1,4,1,3,2,4,4,3,4,3,3,3,3,1,3,3,3,1,4,2,7,4,5,7,5,1,4,2,2,3,99,99,9,9,9,85,60,0,0,1,2,12,education in low income areas/generational poverty (racism),1,2,1,2,4,6,5,1,2,2,5,5,5,5,3,2,5,5,1,5,1,5,1,3,4,4,4,4,3,2,4,2,3,3,3,3,3,1,3,3,3,1,4,6,4,4,1,4,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,1,2,20,1,2,2,1,1,1,1,1,2,9,1,2,0,0,0,1,1,90,0,0,0,0,0,0,1,4,1,3,2,7,9,3,4,0,1,1,1,2,1,1,1,1,3, , , , ,2,4, ,2,5,1,1,4,2,3,1,1,2,1,1,1,1,1,3,1,1,1,0,0,0, , , ,1,0,1,0,5,1,3,4,0,1, , , , ,2,3, , ,2,2,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1, ,4,0,0,-1,1,0
 , , , , , , ,EL126, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,6,1,1,2,2,3, ,2,1,3,1,2,3,2,98,98,98,1,92,38,12, ,1,1,1, ,4,3,2,4,2,2,5,4,4,2,2,2,5,5,2,2,2,5,2,6,4,1,2,5,5,2,5,3,3,1,4,2,2,3,4,2,4,4,1,2,1,3,1,3,1,3,1,1,3,9,2,2,7,4, , , , , ,5,7,2,2,3,100,36,21, ,1,1,7, ,1,2,2,2,4,6,5,9,2,5,2,4,5,5,3,3,2,5,2,5,2,4,1,3,4,4,4,3,3,2,2,4,4,2,3,2,2,1,3,1,3,1,1,9,2,9,1,9,1,2,1,1,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,0,0,0,5,4,18,1,1,1,1,1,1,1,1,1,12,1,3,0,0,0,1,1,69,0,0,0,0,0,0,1,3,2,4,3,7,10,3,4,0,1,0,2,3,1,3,2,2,3,3,3, , ,3,3,3, ,4,1,1,3,3,2,1,3,1,1,3,2,3,1,3,1,3,1, , , ,0,0,0,1,0,1,0,4,1,3,4,0,1,3,1, , ,2,2,3, ,1,2,3,3,1,1,1,1,2,2,1,2,2,3,1,3,1, ,1, , ,0,9, , , , , ,0,0
10/2/2016,10/2/2016,9169,1,EL,2,20,EL220,100,80,0,40,1,2, ,1,5,9,2,1,2,1, ,1,1,1,1,1,4,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1, ,1, , ,1,1,1,1,1,2,33.465606689453,-111.92530059814,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0, , , , , , , ,9, , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0, , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,4,4,0,1,-1,1,0
 , , , , , , ,EL230, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,4,1,1,2,1,1,2,2,2,3,2,2,4,2,1,1,1,1,100,80,0,50,1,2,9, ,2,3,9,9,2,2,5,2,4,2,5,5,5,5,3,3,2,3,2,5,9,2,2,5,5,1,5,3,3,1,3,1,1,1,4,4,4,2,2,1,3,1,1,3,1,3,1,5,2,6,2,2,7,2,99,99,9,9,9,99,99,9,9,9,100,80,0,50,1,2,9, ,1,2,2,2,4,4,5,2,2,5,5,5,5,5,2,2,2,2,2,5,1,5,1,3,4,4,4,2,3,1,1,1,2,2,1,3,1,1,3,1,3,1,5,6,2,5,1,4,1,2,1,1,1,4,5,1,5,3,5,5,3,4,5,5,3,2,3,2,2,4,5,4,2,3,1,19,2,2,1,1,2,2,1,1,3,12,1,3,1,1,1,1,4,62,0,0,0,0,0,1,3,3, , , , , ,3,4,0,1,1,2,2,1,2,2,1,3, , , , ,2,2,3,2,4, ,2,4,4,4,1,1,1,3,2,3,1,3,3,1,3,1, , , , , , ,1,0,1,0,4,1,3,4,0,1, , , , ,3,3,3,3,3,2,4,4,4,1,1,1,3,2,3,1,3,3,1,3,1, ,1,1, ,0,9, , , , , ,0,0
 , , , , , , ,ER013, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,2,2,1,2,1,1,7,1,1,3,3,2,4,2,0,1,1,1,90,90,0,10,1,2,4, ,3,3,2,2,2,2,4,1,5,2,4,5,5,5,1,2,1,2,2,3,3,1,1,5,5,1,5,3,3,1,2,1,1,1,3,3,4,3,2,1,3,1,1,3,2,3,2,5,2,5,2,3,6,2,3,7,1,1,1,2,9,1,2,1,100,95,0,20,1,1,4, ,1,2,2,2,4,3,5,2,2,5,4,5,5,5,1,1,1,3,1,5,1,5,1,3,4,4,4,4,2,1,1,1,3,2,1,3,1,1,3,2,3,2,5,6,2,4,1,4,1,2,1,1,2,4,4,5,4,1,3,5,2,4,5,5,4,2,3,2,2,2,4,5,2,1,3,20,1,2,1,1,1,1,1,1,2,9,1,1,0,1,1,1,3,59,0,0,0,0,0,0,2,3,2,2,4,5,9,2,4,0,1,1,3,3,1,1,2,1,3,1, , , ,4,3,4,3,4,2,3,4,4,4,2,2,1,2,2,3,1,3,3,1,2,1,1,1,1,0,1,1,1,0,1,0,4,1,3,4,0,1,1, , , ,4,4,4,2,2,3,4,4,4,1,1,1,1,2,3,1,3,3,1,2,1,1,1,1,3,0,9, , , , , ,0,0
10/2/2016,10/2/2016,450,1,ET,1,26,ET126,65,50,0,40,2,2, ,1,4,7,2,1,2,1, ,2,1,1, ,1,2,1,0,0,1,0,0,1,0,0,1,0,1, ,1,1, ,1,1, ,1,1, ,1, ,2,33.414794921875,-111.90930175781,-1,5,1,1,2,3,3,99,2,2,3,2,1,4,2,0,0,0,1,75,50,0,0,1,2,4,99,2,1,1,2,2,2,5,2,5,2,5,5,5,5,3,3,3,4,2,5,2,2,2,5,4,1,5,3,3,1,4,1,2,2,2,4,3,3,1,2,3,2,1,3,1,3,1,4,4,6,4,4,7,4,99,99,99,99,99,3,8,1,2,1,70,51,0,0,1,2,4,99,1,2,2,2,4,5,5,2,2,5,5,5,5,5,2,2,2,2,2,5,2,5,1,3,2,4,3,3,3,1,2,1,2,2,2,3,2,1,3,1,3,1,4,6,4,4,1,4,1,2,2,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,2,1,20,1,3,1,1,2,2,1,1,3,2,1,3,0,0,0,1,1,56,0,0,1,0,1,0,3,1,1,2,4,3,7,3,4,0,1,0,2,2,1,2,3,1,3, , , , ,2,2,2,1,4,3,1,4,3,3,3,1,2,2,3,2,1,2,3,1,3,1, , , ,0,1,1,1,0,1,0,4,1,3,4,0,1, , , , ,3,3,3,3,3,2,4,3,4,3,1,2,2,2,2,1,2,3,1,3,1,1,1,1,3,5,1, ,3,0,1,-1,1,0
 , , , , , , ,FI126, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,1,1,1,1,5,3,99,2,2,3,2,3,3,3,1,1,0,1,50,0,75,60,2,1,9, ,2,2,3,4,4,1,5,2,9,9,2,4,2,3,3,1,3,5,3,6,2,3,1,5,4,2,5,1,3,1,4,1,4,2,3,1,4,1,1,3,1,3,2,3,2,2,4,4,4,5,2,1,7,2,6,7,2,2,1,99,99,9,9,9,50,0,70,60,2,1,9, ,1,1,3,3,3,6,4,1,2,2,1,4,2,4,3,1,4,4,2,4,3,5,1,3,3,2,4,1,4,2,4,2,2,2,3,2,3,2,3,2,2,3,3,5,2,4,1,4,2,2,1,1,1,4,4,4,5,4,2,4,4,4,4,4,2,4,4,4,2,4,5,3,4,1,2,18,1,1,1,1,1,1,1,1,2,5,1,2,1,1,0,1,3,64,1,0,0,0,1,0,3,2,3,4,6,6,12,3,4,1,0,0,2,2,1,2,1,2,2,3,1,3,2,2,4,2, ,3,3,1,4,1,3,2,4,1,4,3,1,3,1,2,1,2,2,0,0,1, , , ,0,1,0,1,3,2,2,4,1,0,4,1,3,1,2,4,1,1,3,1,3,1,3,2,3,1,4,2,1,2,1,2,1,2,2,1,1,1,3,0,9, , , , , ,0,0
 , , , , , , ,GA004, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,4,2,1,9,3,3,99,3,3,3,3,3,4,9,0,0,0,0,51,35,0,51,1,2,4, ,1,4,2,4,2,2,5,2,5,5,4,4,4,4,4,4,4,4,2,4,2,3,2,5,5,1,9,3,3,1,4,2,3,3,4,4,4,4,2,2,2,2,1,3,1,3,1,1,4,7,2,6,6,2,99,99,99,99,99,99,99,99,99,99,51,35,0,51,9,1,4, ,1,9,2,3,4,5,5,5,2,5,5,5,5,5,4,4,4,4,2,5,1,4,1,3,4,4,4,4,4,2,2,4,2,2,3,2,3,1,3,1,3,1,1,7,2,4,1,4,2,2,1,2,2,3,4,2,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,3,2,1,5,28,1,4,1,1,9,9,1,1,4,10,1,9,0,0,0,0,0,61,1,0,0,1,2,0,4,4,2,4,6,8,14,2,4,0,0,0,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,4,3,1,3,2,2,1,1,1,1,2,2,2,2,3,1,3,1, , , , , , ,1,0,0,0,4,1,2,4,0,0, , , , ,1,1,1,1,3,1,3,3,1,1,1,1,1,2,1,2,1,3,1,3,1,1,1,1,3,0,9, , , , , ,0,0
 , , , , , , ,GA009, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,6,1,1,3,3,3,99,2,1,3,99,2,4,2,1,0,0,1,80,51,0,50,1,2,1,99,1,3,3,4,3,2,4,2,4,2,2,3,5,4,2,2,5,5,2,5,3,2,2,5,5,1,9,3,3,1,4,1,3,3,1,3,4,2,1,2,3,2,1,2,2,3,3,4,4,7,2,1,7,2,99,99,99,99,99,8,6,1,1,3,80,51,20,50,1,2,1,99,1,3,2,2,3,5,4,2,1,5,2,4,5,3,2,2,5,5,1,5,1,5,3,1,1,3,4,2,4,1,3,4,4,1,2,3,2,1,2,2,3,4,3,7,2,4,1,4,2,2,2,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,1,2,4,20,2,4,1,2,2,2,1,10,3,2,1,2,1,0,0,1,2,89,1,0,1,0,2,1,4,3,3,4,7,7,14,3,4,0,0,0,2,3,1, ,2,1,3,3,2, ,1,3,3, , ,4,2,1,4,2,2,4,2,1,3,3,2,1,2,3,2,2,1, , , ,1,1,0,1,0,1,0,4,2,3,4,0,0,3,1, ,2,3,3, , ,1,1,4,2,1,4,2,1,3,3,2,1,2,3,2,2,1,1,1,1,3,0,9, , , , , ,0,0
10/3/2016,10/3/2016,5195,1,ga,2,04,GA204,51,35,0,51,1,6, ,2,2,3,1,1,2,1, ,1,1,1, , ,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1, ,1, ,1,1,2,33.435699462891,-111.91709899902,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0, , , , , , , ,9, , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0, , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,4,1,1,-1,1,0
10/2/2016,10/2/2016,8113,1,Gi,0,17,GI017,90,80,0,0,1,2, ,1,2,7,2,1,2,1, ,3, ,1, , ,2,1,0,1,1,0,0,1,0,0,1,0,1, ,1, , ,1,1, ,1,1, ,1, ,2,33.435699462891,-111.91709899902,-1,5,1,1,2,3,1,6,2,1,3,2,2,4,3,0,0,1,1,90,65,0,10,1,1,10,99,4,2,1,3,3,1,4,1,4,2,5,5,5,5,3,3,2,4,2,6,2,2,1,5,5,4,5,3,3,1,3,2,3,2,4,3,4,3,1,2,3,2,1,3,2,3,1,3,2,5,3,3,7,1,99,99,99,99,99,3,8,1,2,1,90,65,0,10,1,1,10,99,1,2,2,3,4,6,4,1,1,4,5,5,5,5,2,2,2,3,1,5,3,5,1,3,4,4,4,4,3,2,2,2,2,2,2,2,2,1,3,1,3,1,4,6,2,4,1,4,1,2,1,1,3,4,4,2,4,4,5,1,1,3,4,5,2,5,2,4,2,5,5,4,3,1,2,19,1,2,1,1,1,1,1,1,2,9,1,2,0,0,1,1,2,60,0,0,0,0,0,0,1,2,1,3,2,5,7,3,4,0,1,1,2,3,1,2,2,1,2, , , , ,2,2,3,1,4,3,2,3,2,3,1,2,1,2,3,2,1,2,3,1,2,1, , , ,0,1,1,1,0,1,0,4,1,2,4,0,1, , , , ,3,3,3,2,3,2,3,3,3,1,1,1,1,2,2,2,2,3,1,3,1,1,1,1,3,6,1, ,4,0,1,-1,1,0
10/3/2016,10/3/2016,5363,1,GI,0,18,GI018,80,49,0,0,4,2, ,1,4,8,2,1,2,1, ,1,1,1, ,1,2,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1, ,1,1,1,1, , ,1,1,2,33.448806762695,-111.80139923096,-1,4,1,4,2,3,3,99,2,2,3,2,2,4,2,0,0,0,1,80,49,0,0,9,1,10, ,2,4,1,1,1,2,5,1,5,3,5,5,5,5,3,3,3,4,3,4,4,2,1,5,5,1,5,3,3,1,4,1,3,2,4,4,4,1,1,3,2,2,1,3,1,3,5,5,1,7,5,5,7,4,99,99,99,99,99,99,99,99,99,99,80,49,0,0,9,1,10, ,4,2,3,2,4,4,5,3,1,5,5,5,5,5,3,3,3,4,1,5,1,5,1,3,4,4,4,2,4,1,3,2,4,1,3,2,2,1,3,1,3,5,5,7,5,4,1,4,2,1,1,1,3,3,3,3,3,3,3,2,2,2,3,4,3,4,3,2,1,5,5,4,2,1,3,19,1,2,1,2,2,2,2,2,3,9,2,3,0,0,0,1,1,52,1,1,0,0,2,0,3,4,1,1,4,5,9,3,1,0,1,0,2,2,1,2,2,1,3, , , , ,2,2,2,1,3,1,1,4,2,3,1,1,1,4,3,1,2,2,3,1,3,1, , , , , , ,0,0,0,0,3,1,3,1,0,1, , , , ,2,2,2,1,1,1,4,2,3,1,1,1,3,3,1,2,2,3,1,3,1,1,1,1,3,3,1, ,1,0,1,-1,1,0
10/2/2016,10/2/2016,10958,1,Gi,0,28,GI028,90,80,20,65,1,2, ,1,3,9,1,1,2,1, ,1,1,1, ,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1, ,1,1,2,33.400100708008,-111.92900085449,-1,5,2,1,2,3,1,2,2,1,3,3,2,4,2,0,1,1,1,90,75,20,60,1,1,4,99,3,3,2,4,2,2,5,2,5,1,2,4,4,4,3,2,2,4,2,3,2,1,1,5,5,1,5,3,3,1,3,1,1,1,2,4,4,3,3,2,3,1,2,3,1,3,1,5,2,7,2,3,7,1,99,99,99,99,99,2,10,1,2,1,90,75,10,60,1,1,4,99,1,2,2,2,4,3,5,2,2,5,2,4,5,5,2,1,2,4,2,5,1,5,1,3,4,3,4,4,3,1,2,2,2,3,2,3,1,2,3,1,3,1,4,7,2,4,1,4,1,2,1,1,3,4,1,5,4,4,1,4,2,5,5,4,4,5,4,4,4,3,4,3,5,1,2,20,1,3,1,1,1,1,1,1,2,2,1,1,0,1,1,1,3,66,0,0,0,0,0,0,2,3,2,4,4,7,11,2,4,0,1,1,2,3,1,1,2,1,3,3,1,1,1,2,3,3,1,4,3,2,4,4,4,3,1,1,2,1,2,1,3,2,1,3,1, , , ,0,1,1,1,0,1,0,4,1,3,4,0,1,3,1, , ,3,4,3,1,3,2,4,3,3,1,2,1,1,1,2,1,3,2,1,3,1,1,1,1,3,1,1, ,4,1,1,-1,1,0
 , , , , , , ,GL215, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,1,2,3,9,6,3,99,2,2,2,2,2,9,9,0,0,0,0,70,50,30,999,9,9,9, ,4,4,4,99,3,9,9,2,9,9,4,99,4,4,99,99,99,99,4,3,9,9,9,4,3,2,4,3,3,1,3,3,3,3,4,4,4,4,3,3,3,3,2,3,3,3,1,2,5,6,2,4,4,4,3,5,2,2,3,99,99,9,9,9,50,50,50,999,9,9,9, ,9,2,4,2,2,3,4,2,2,3,3,4,4,5,3,4,4,3,9,9,2,9,1,9,4,4,4,4,4,4,3,3,9,3,3,3,2,2,3,3,3,1,2,6,2,3,1,4,2,2,2,1,3,4,4,4,4,3,3,4,4,2,4,3,2,2,3,2,3,4,4,3,5,1,2,20,2,3,8,1,1,1,1,1,3,2,1,3,0,0,0,0,0,58,1,0,1,0,2,1,1,4,4, ,5, , ,2,2,0,0,0,2,2,2,2,2, , ,1, ,1,1, , , , ,2, ,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0, , , ,0,0,0,0,2,3,3, ,0,1,2,1,1, ,2,1,1,2, ,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,4,0,9, , , , , ,0,0
